Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Width,Body_Type,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Power_Steering,Power_Windows,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Type,12v_Power_Outlet,Audiosystem,Basic_Warranty,Boot-lid_Opener,Boot_Space,Central_Locking,Child_Safety_Locks,Clock,Door_Pockets,Engine_Malfunction_Light,Fuel-lid_Opener,Fuel_Gauge,Multifunction_Display,ABS_(Anti-lock_Braking_System),EBD_(Electronic_Brake-force_Distribution),Number_of_Airbags,USB_Compatibility,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Selling_Price
35,158,976,345,112,2.0,2.0,3,1,2,6,0,3,5,135,44,5,5.0,217,0,40,0,0,77,75,0,1,221,248,1,0,5,3,4.0,4,4,1,11,0,2,1,1,1,0,1,0,2,1,0,0,3.777288732394366,0,0,2,16.95
35,158,947,326,112,2.0,2.0,3,1,2,6,0,3,5,135,44,5,5.0,217,0,40,0,0,77,75,0,0,221,248,1,0,5,3,4.0,4,4,6,11,0,2,0,1,1,0,1,0,2,1,0,0,3.777288732394366,0,0,2,18.49
35,158,487,348,112,2.0,2.0,3,1,2,6,0,2,0,135,44,5,4.0,210,0,40,0,0,77,75,0,0,221,248,1,0,5,3,4.0,4,4,6,11,0,2,0,1,1,0,1,0,2,1,0,0,3.777288732394366,0,0,2,18.51
35,158,982,427,112,2.0,2.0,3,1,2,6,0,3,5,135,44,5,5.0,200,1,40,0,0,77,75,0,1,221,248,1,0,5,3,4.0,1,4,1,11,0,135,1,1,1,0,1,0,2,1,0,0,3.777288732394366,0,0,2,17.86
35,158,961,336,112,2.0,2.0,3,1,2,6,0,3,5,135,44,5,5.0,217,0,40,0,0,77,75,0,0,221,248,1,0,5,3,4.0,4,4,6,11,0,2,0,1,1,0,1,0,2,1,0,0,3.777288732394366,0,0,2,18.49
35,158,967,422,112,2.0,2.0,3,1,2,6,0,3,5,135,44,5,5.0,200,1,40,0,0,77,75,0,0,221,248,1,0,5,3,4.0,1,4,6,11,0,135,0,1,1,0,1,0,2,1,0,0,3.777288732394366,0,0,2,18.62
6,189,435,339,125,3.0,4.0,2,1,2,1,0,5,5,99,8,5,5.0,234,1,44,2,0,23,65,0,0,252,309,1,0,3,3,5.0,4,4,6,7,0,22,0,1,1,1,1,0,2,1,1,0,3.777288732394366,0,0,2,10.54
6,189,830,432,125,3.0,4.0,2,1,2,1,0,5,5,99,8,5,5.0,234,1,44,2,0,23,65,0,1,252,309,1,0,3,3,5.0,4,4,1,7,0,22,1,1,1,0,1,0,2,1,0,0,3.777288732394366,1,0,2,11.24
6,189,368,426,125,3.0,4.0,2,1,2,1,0,5,5,99,8,5,5.0,234,1,44,2,0,23,65,0,0,252,309,1,0,3,3,5.0,4,4,6,7,0,22,0,1,1,0,1,0,2,1,0,0,3.777288732394366,0,0,2,10.69
6,189,728,441,125,3.0,4.0,2,1,2,1,0,5,5,99,8,5,5.0,234,1,44,2,0,23,65,0,0,252,309,1,0,3,3,5.0,4,4,1,7,9,22,0,1,1,1,1,0,2,1,0,0,3.777288732394366,0,0,2,11.1
6,189,0,456,128,3.0,4.0,2,1,2,1,0,5,5,99,8,5,5.0,204,1,44,2,0,23,65,0,0,305,336,1,0,3,3,5.0,4,4,1,7,9,22,0,1,1,3,1,0,2,1,0,0,3.777288732394366,0,0,2,11.14
6,189,1,531,128,3.0,4.0,2,1,2,1,0,5,5,99,8,5,5.0,210,1,44,2,0,23,65,0,1,305,336,1,0,3,3,5.0,1,4,1,7,2,22,1,1,1,0,1,0,2,1,0,0,3.777288732394366,1,0,2,10.99
33,115,714,435,125,3.0,4.0,2,1,0,1,0,5,5,78,11,5,5.0,234,2,43,2,0,82,159,0,0,252,309,1,2,5,3,5.0,4,4,6,3,0,48,0,1,1,0,1,0,2,1,1,1,1.0,0,0,2,17.53
33,115,799,343,125,3.0,4.0,2,1,0,1,0,5,5,78,11,5,5.0,234,1,43,2,0,89,159,0,0,252,309,1,2,5,3,5.0,4,4,6,3,0,48,0,0,1,0,1,0,2,1,1,1,1.0,0,0,2,18.01
33,115,718,453,125,3.0,4.0,2,1,0,1,0,5,5,78,11,5,5.0,234,1,43,2,0,89,159,0,1,252,309,1,2,5,3,5.0,4,4,1,3,0,48,1,1,1,0,1,0,2,1,1,1,1.0,1,0,2,17.06
